naics,industry_title,aiie,industry_code,naics_code,industry_name
7212.0,RV (Recreational Vehicle) Parks and Recreational Camps,-0.404939,70721200.0,7212.0,Recreational vehicle (RV) parks and recreational camps
7213.0,Rooming and Boarding Houses,-1.051392,,,
7223.0,Special Food Services,-1.060899,70722300.0,7223.0,Special food services
7224.0,Drinking Places (Alcoholic Beverages),-0.99913,70722400.0,7224.0,"Drinking places, alcoholic beverages"
7225.0,Restaurants and Other Eating Places,-1.171986,70722500.0,7225.0,Restaurants and other eating places
8111.0,Automotive Repair and Maintenance,-1.094294,80811100.0,8111.0,Automotive repair and maintenance
8112.0,Electronic and Precision Equipment Repair and Maintenance,0.1066877,80811200.0,8112.0,Electronic and precision equipment repair and maintenance
8113.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,-0.7797639,80811300.0,8113.0,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
8114.0,Personal and Household Goods Repair and Maintenance,-0.7464604,80811400.0,8114.0,Personal and household goods repair and maintenance
8121.0,Personal Care Services,-0.4751154,80812100.0,8121.0,Personal care services
8122.0,Death Care Services,-0.3155441,80812200.0,8122.0,Death care services
8123.0,Drycleaning and Laundry Services,-1.148211,80812300.0,8123.0,Drycleaning and laundry services
8129.0,Other Personal Services,-0.7702041,80812900.0,8129.0,Other personal services
8131.0,Religious Organizations,0.9662193,,,
8132.0,Grantmaking and Giving Services,1.721215,80813200.0,8132.0,Grantmaking and giving services
8133.0,Social Advocacy Organizations,1.194087,80813300.0,8133.0,Social advocacy organizations
8134.0,Civic and Social Organizations,-0.3505448,80813400.0,8134.0,Civic and social organizations
8139.0,"Business, Professional, Labor, Political, and Similar Organizations",1.360341,80813900.0,8139.0,"Business, professional, labor, political, and similar organizations"
9991.0,Federal Executive Branch (OES Designation),1.076782,,,
9992.0,"State Government, excluding schools and hospitals (OES Designation)",0.7475519,,,
9993.0,"Local Government, excluding schools and hospitals (OES Designation)",-0.0143179,,,
